Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2018-03,Manual,Other,Games,Titles,additions,Cataloging,16
2018-03,Manual,Other,Games,Volumes,additions,Cataloging,16
2018-03,Manual,Other,Mixed,Titles,additions,Cataloging,32
2018-03,Manual,Other,Mixed,Volumes,additions,Cataloging,32
2018-03,P-FILE-90,Book,Book,Titles,additions,Monographs,104
2018-03,P-FILE-90,Book,Book,Volumes,additions,Monographs,123
2018-04,Manual,Book,Book,Titles,additions,Cataloging,655
2018-04,Manual,Book,Book,Titles,additions,Serials,5
2018-04,Manual,Book,Book,Titles,withdraws,Cataloging,-76
2018-04,Manual,Book,Book,Titles,withdraws,Serials,-2
2018-04,Manual,Book,Book,Volumes,additions,Cataloging,682
2018-04,Manual,Book,Book,Volumes,additions,Serials,5
2018-04,Manual,Book,Book,Volumes,withdraws,Cataloging,-104
2018-04,Manual,Book,Book,Volumes,withdraws,Serials,-2
2018-04,Manual,Continuing,Periodical,Titles,withdraws,Serials,-3
2018-04,Manual,Continuing,Periodical,Volumes,additions,Serials,12
2018-04,Manual,Continuing,Periodical,Volumes,withdraws,Serials,-68
2018-04,Manual,Continuing,Serial,Titles,withdraws,Serials,-30
2018-04,Manual,Continuing,Serial,Volumes,additions,Serials,27
2018-04,Manual,Continuing,Serial,Volumes,withdraws,Cataloging,-1
2018-04,Manual,Continuing,Serial,Volumes,withdraws,Serials,-149
2018-04,Manual,Document,Document,Titles,additions,Serials,53
2018-04,Manual,Document,Document,Titles,withdraws,Serials,-29
2018-04,Manual,Document,Document,Volumes,additions,Serials,1
2018-04,Manual,Document,Document,Volumes,withdraws,Serials,-1794
2018-04,Manual,eBook,eBook,Titles,additions,Cataloging,1
2018-04,Manual,eBook,eBook,Volumes,additions,Cataloging,1
2018-04,Manual,Media,Database,Titles,withdraws,Cataloging,-7
2018-04,Manual,Media,Database,Volumes,withdraws,Cataloging,-7
2018-04,Manual,Media,DVD,Titles,additions,Cataloging,5
2018-04,Manual,Media,DVD,Volumes,additions,Cataloging,5
2018-04,Manual,Media,Microform,Volumes,additions,Serials,1
2018-04,Manual,Other,Mixed,Titles,additions,Cataloging,15
2018-04,Manual,Other,Mixed,Volumes,additions,Cataloging,15
2018-04,Manual,Other,Other,Titles,additions,Cataloging,2
2018-04,Manual,Other,Other,Volumes,additions,Cataloging,2
2018-04,P-FILE-90,Book,Book,Titles,additions,Monographs,479
2018-04,P-FILE-90,Book,Book,Volumes,additions,Monographs,479
2018-05,GENLOAD,eBook,eBook,Titles,additions,Cataloging,115
2018-05,GENLOAD,eBook,eBook,Volumes,additions,Cataloging,115
